Word,Friend,Score
chintz,chintz,100
chip,chip,100
chips,chips,100
chipset,chipset,100
chirograf,chirograaf,95
chirologia,chirologie,90
chirurg,chirurg,100
chlor,chloor,91
chloral,chloraal,93
chloroform,chloroform,100
chloroplast,chloroplast,100
cholera,cholera,100
cholesterol,cholesterol,100
choreograf,choreograaf,95
chorizo,chorizo,100
choroplast,chloroplast,95
chorus,chorus,100
chrom,chroma,91
chroma,chroma,100
chrome,chromen,92
chromosfera,chromosfeer,91
chromosom,chromosoom,95
chromotypia,chromotypie,91
chronograf,chronograaf,95
chronogram,chronogram,100
chronologia,chronologie,91
chronometr,chronometer,95
chutney,chutney,100
ciabatta,ciabatta,100
cicer,cicero,91
cicero,cicero,100
cicerone,cicerone,100
cinemascope,cinemascope,100
cinquecento,cinquecento,100
circa,circa,100
cirrus,cirrus,100
cito,cito,100
citroen,citroen,100
city,city,100
civile,civiele,92
class,class,100
clausus,clausus,100
clearing,clearing,100
clematis,clematis,100
clinch,clinch,100
clip,clip,100
clipart,clipart,100
clitoris,clitoris,100
clochard,clochard,100
clou,clou,100
clown,clown,100
club,club,100
cluster,cluster,100
coach,coach,100
coache,coachen,92
coaching,coaching,100
coca,coca,100
coccus,coccus,100
cockney,cockney,100
cockpit,cockpit,100
cocktail,cocktail,100
cocktailbar,cocktailbar,100
coda,coda,100
coffee,coffee,100
cointreau,cointreau,100
cola,cola,100
collage,collage,100
collateral,collateraal,95
collect,collect,100
collectanea,collectante,91
collectivum,collectivum,100
college,college,100
collegium,collegium,100
collie,collie,100
colloquium,colloquium,100
colt,colt,100
columbarium,columbarium,100
combi,combi,100
combo,combo,100
comeback,comeback,100
comitas,comités,92
commedia,commedia,100
commerce,commerce,100
commercial,commercial,100
commodore,commodore,100
commodorze,commodores,90
common,common,100
commune,commune,100
communes,communes,100
communi,communie,93
communis,communis,100
community,community,100
compact,compact,100
compendium,compendium,100
compositum,compositum,100
concerti,concerti,100
concertina,concertino,90
concertino,concertino,100
concerto,concerto,100
concierge,conciërge,94
concours,concours,100
conditione,conditioner,95
conditioner,conditioner,100
condominium,condominium,100
confetti,confetti,100
confiteor,confiteor,100
conga,conga,100
consensu,consensus,94
consensus,consensus,100
consilium,consilium,100
continuo,continuo,100
continuum,continuüm,94
conto,conto,100
contra,contra,100
contras,contrast,93
control,controle,93
cookie,cookie,100
cookies,cookies,100
cool,cool,100
copyright,copyright,100
copywriter,copywriter,100
cordiale,cordiale,100
corgi,corgi,100
corner,corner,100
cornflakes,cornflakes,100
corps,corps,100
corpus,corpus,100
correct,correct,100
corrigenda,corrigenda,100
corso,corso,100
cosinus,cosinus,100
cotangens,cotangens,100
cottage,cottage,100
couleur,couleur,100
count,county,91
countdown,countdown,100
counter,counter,100
country,country,100
county,county,100
coup,coup,100
courant,courant,100
courante,courante,100
court,court,100
courtage,courtage,100
couture,couture,100
cover,cover,100
cowboy,cowboy,100
crack,crack,100
cracker,cracker,100
crackers,crackers,100
crash,crash,100
cravate,cravate,100
crawl,crawl,100
credit,credit,100
credo,credo,100
crescendo,crescendo,100
cricket,cricket,100
croissant,croissant,100
cross,cross,100
crossing,crossing,100
crossover,cross-over,95
crossoveru,cross-over,90
cruise,cruise,100
cruiser,cruiser,100
crux,crux,100
cruzeir,cruzeiro,93
cruzeiro,cruzeiro,100
ctrl,ctrl,100
culpa,culpa,100
cultivar,cultivar,100
cultiver,cultiveer,94
cumulus,cumulus,100
cunnilingus,cunnilingus,100
curacao,curaçao,92
curie,curie,100
curiosum,curiosum,100
curling,curling,100
curriculum,curriculum,100
curry,curry,100
cursus,cursus,100
cyberpunk,cyberpunk,100
cyberspace,cyberspace,100
cyborg,cyborg,100
cyclocross,cyclocross,100
cytoplazma,cytoplasma,90
dada,dada,100
dalia,dahlia,91
dance,dance,100
dancehall,dancehall,100
dancing,dancing,100
dandy,dandy,100
danie,danige,91
dans,dans,100
danse,danse,100
danser,danser,100
danseur,danseur,100
dark,dark,100
dart,dart,100
darte,dartel,91
darter,darter,100
data,data,100
deal,deal,100
dealer,dealer,100
death,death,100
debel,debiel,91
debet,debet,100
debil,debiel,91
debile,debiele,92
debit,debiet,91
debugger,debugger,100
decennium,decennium,100
decise,decisie,92
deck,deck,100
decorum,decorum,100
decrescendo,decrescendo,100
deflator,deflatoir,94
deken,deken,100
deklamator,declamator,90
deleatur,deleatur,100
delegat,delegaat,93
delete,delete,100
delft,delft,100
delicti,delicti,100
delirante,delirante,100
delirium,delirium,100
delta,delta,100
demagog,demagoog,93
demarch,demarche,93
dementi,dementi,100
demi,demi,100
demijohn,demi-john,94
demo,demo,100
demograf,demograaf,94
demografia,demografie,90
demon,demon,100
